scene,block_size,n_runs,pr_psnr,pr_ssim,pr_lpips,gp_psnr,gp_ssim,gp_lpips
chair,1,3,20.8247 +- 0.0002,0.9729 +- 0.0000,0.0461 +- 0.0000,21.0721 +- 0.0000,0.9830 +- 0.0000,0.0232 +- 0.0000
chair,2,3,20.8181 +- 0.0001,0.9727 +- 0.0000,0.0551 +- 0.0000,21.0721 +- 0.0000,0.9831 +- 0.0000,0.0320 +- 0.0000
chair,4,3,11.9617 +- 1.2709,0.7599 +- 0.0035,0.3953 +- 0.0183,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0271 +- 0.0000
chair,6,3,10.5560 +- 0.0012,0.7580 +- 0.0001,0.4162 +- 0.0002,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0263 +- 0.0000
chair,8,3,20.7092 +- 0.0001,0.9702 +- 0.0000,0.0530 +- 0.0001,21.0652 +- 0.0000,0.9832 +- 0.0000,0.0276 +- 0.0000
chair,10,3,11.9932 +- 0.1498,0.7783 +- 0.0016,0.3868 +- 0.0033,21.0721 +- 0.0000,0.9837 +- 0.0000,0.0296 +- 0.0000
chair,16,3,19.1642 +- 0.0079,0.9269 +- 0.0005,0.1217 +- 0.0016,21.0652 +- 0.0000,0.9851 +- 0.0000,0.0296 +- 0.0000
chair,25,3,20.3253 +- 0.0014,0.9638 +- 0.0001,0.0659 +- 0.0001,21.0721 +- 0.0000,0.9877 +- 0.0000,0.0268 +- 0.0000
chair,50,3,20.7863 +- 0.0002,0.9787 +- 0.0000,0.0469 +- 0.0001,21.0721 +- 0.0000,0.9901 +- 0.0000,0.0227 +- 0.0000
drums,1,3,20.1693 +- 0.0006,0.9475 +- 0.0000,0.0813 +- 0.0001,21.0721 +- 0.0000,0.9830 +- 0.0000,0.0226 +- 0.0000
drums,2,3,20.1742 +- 0.0008,0.9475 +- 0.0001,0.0896 +- 0.0001,21.0721 +- 0.0000,0.9831 +- 0.0000,0.0313 +- 0.0000
drums,4,3,14.9987 +- 0.1382,0.7835 +- 0.0010,0.3786 +- 0.0011,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0264 +- 0.0000
