scene,poison_pct,n_runs,pr_psnr,pr_ssim,pr_lpips,gp_psnr,gp_ssim,gp_lpips
chair,5,3,32.6357 +- 0.0038,0.9871 +- 0.0000,0.0263 +- 0.0000,inf +- 0.0000,0.9992 +- 0.0000,0.0014 +- 0.0000
chair,10,3,32.0815 +- 0.0029,0.9865 +- 0.0000,0.0267 +- 0.0001,inf +- 0.0000,0.9983 +- 0.0000,0.0027 +- 0.0000
chair,25,3,28.6572 +- 0.0210,0.9730 +- 0.0001,0.0499 +- 0.0000,inf +- 0.0000,0.9958 +- 0.0000,0.0068 +- 0.0000
chair,50,3,11.3645 +- 0.0023,0.7748 +- 0.0001,0.3883 +- 0.0003,inf +- 0.0000,0.9915 +- 0.0000,0.0135 +- 0.0000
chair,75,3,11.6529 +- 0.0221,0.7779 +- 0.0004,0.3827 +- 0.0006,inf +- 0.0000,0.9873 +- 0.0000,0.0203 +- 0.0000
chair,100,3,11.8667 +- 0.0475,0.7789 +- 0.0009,0.3888 +- 0.0010,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0271 +- 0.0000
drums,5,3,27.5074 +- 0.0134,0.9625 +- 0.0003,0.0618 +- 0.0003,inf +- 0.0000,0.9992 +- 0.0000,0.0013 +- 0.0000
drums,10,3,11.7283 +- 0.4927,0.7131 +- 0.0009,0.5103 +- 0.0128,inf +- 0.0000,0.9983 +- 0.0000,0.0026 +- 0.0000
drums,25,3,23.5816 +- 0.0475,0.9158 +- 0.0009,0.1388 +- 0.0022,inf +- 0.0000,0.9958 +- 0.0000,0.0066 +- 0.0000
drums,50,3,16.7076 +- 0.5361,0.8183 +- 0.0107,0.3139 +- 0.0143,inf +- 0.0000,0.9915 +- 0.0000,0.0131 +- 0.0000
drums,75,3,12.2535 +- 0.0201,0.7191 +- 0.0012,0.4937 +- 0.0017,inf +- 0.0000,0.9873 +- 0.0000,0.0198 +- 0.0000
drums,100,3,14.9268 +- 0.2467,0.7902 +- 0.0055,0.3660 +- 0.0083,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0264 +- 0.0000
ficus,5,3,35.8771 +- 0.0781,0.9933 +- 0.0001,0.0093 +- 0.0002,inf +- 0.0000,0.9992 +- 0.0000,0.0014 +- 0.0000
ficus,10,3,26.4697 +- 1.4168,0.9580 +- 0.0060,0.0573 +- 0.0076,inf +- 0.0000,0.9983 +- 0.0000,0.0027 +- 0.0000
ficus,25,3,18.5912 +- 0.2120,0.8940 +- 0.0041,0.1512 +- 0.0069,inf +- 0.0000,0.9958 +- 0.0000,0.0068 +- 0.0000
