scene,patch_size,n_runs,pr_psnr,pr_ssim,pr_lpips,gp_psnr,gp_ssim,gp_lpips
chair,12,3,13.8120 +- 0.0167,0.8157 +- 0.0002,0.3187 +- 0.0005,39.0309 +- 0.0000,0.9996 +- 0.0000,0.0016 +- 0.0000
chair,24,3,16.1370 +- 0.0398,0.8172 +- 0.0020,0.2860 +- 0.0013,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
chair,48,3,18.2451 +- 0.1724,0.8409 +- 0.0010,0.2455 +- 0.0019,27.4473 +- 0.0000,0.9958 +- 0.0000,0.0084 +- 0.0000
chair,76,3,20.9749 +- 0.1252,0.9327 +- 0.0028,0.0865 +- 0.0032,23.4438 +- 0.0000,0.9900 +- 0.0000,0.0167 +- 0.0000
chair,100,3,13.1856 +- 0.0700,0.7980 +- 0.0022,0.3459 +- 0.0014,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0271 +- 0.0000
chair,148,3,11.3435 +- 0.2891,0.7621 +- 0.0047,0.4031 +- 0.0065,17.6637 +- 0.0000,0.9638 +- 0.0000,0.0497 +- 0.0000
chair,200,3,9.8826 +- 0.0492,0.7254 +- 0.0003,0.4334 +- 0.0014,15.0526 +- 0.0000,0.9350 +- 0.0000,0.0760 +- 0.0000
drums,12,3,16.1911 +- 0.1184,0.8062 +- 0.0040,0.3405 +- 0.0035,39.0309 +- 0.0000,0.9996 +- 0.0000,0.0016 +- 0.0000
drums,24,3,16.0794 +- 0.0677,0.7949 +- 0.0004,0.3652 +- 0.0019,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
drums,48,3,15.5792 +- 0.1411,0.7958 +- 0.0029,0.3618 +- 0.0053,27.4473 +- 0.0000,0.9958 +- 0.0000,0.0084 +- 0.0000
drums,76,3,12.9315 +- 0.1997,0.7372 +- 0.0031,0.4621 +- 0.0022,23.4438 +- 0.0000,0.9900 +- 0.0000,0.0166 +- 0.0000
drums,100,3,15.3979 +- 0.1014,0.7986 +- 0.0010,0.3591 +- 0.0031,21.0652 +- 0.0000,0.9831 +- 0.0000,0.0264 +- 0.0000
drums,148,3,15.0287 +- 0.0495,0.7891 +- 0.0029,0.3641 +- 0.0046,17.6654 +- 0.0000,0.9638 +- 0.0000,0.0472 +- 0.0000
drums,200,3,13.3575 +- 0.2540,0.7557 +- 0.0086,0.3846 +- 0.0098,15.0674 +- 0.0000,0.9350 +- 0.0000,0.0726 +- 0.0000
ficus,12,3,29.5471 +- 0.6955,0.9730 +- 0.0027,0.0340 +- 0.0034,39.0309 +- 0.0000,0.9996 +- 0.0000,0.0016 +- 0.0000
ficus,24,3,18.7286 +- 0.0705,0.8596 +- 0.0007,0.1923 +- 0.0011,33.4679 +- 0.0000,0.9988 +- 0.0000,0.0036 +- 0.0000
